name,LOCATION,TIME,Value
Australia,AUS,2000.0,-1.29277943331186
Australia,AUS,2001.0,-0.74340340321793
Australia,AUS,2002.0,0.706782470000374
Australia,AUS,2003.0,0.794190376363078
Australia,AUS,2004.0,0.927763579276846
Australia,AUS,2005.0,1.59920115059954
Australia,AUS,2006.0,1.58161890918586
Australia,AUS,2007.0,0.65579083929179
Australia,AUS,2008.0,-3.84071630537229
Australia,AUS,2009.0,-5.64459058469918
Australia,AUS,2010.0,-4.56111793655115
Australia,AUS,2011.0,-4.61486967630437
Australia,AUS,2012.0,-2.84701006343177
Australia,AUS,2013.0,-2.78301689090071
Australia,AUS,2014.0,-2.23729937093667
Australia,AUS,2015.0,-2.22284019728016
Australia,AUS,2016.0,-1.58186656844656
Brazil,BRA,2000.0,-4.85425593797439
Brazil,BRA,2001.0,-6.5223365108252
Brazil,BRA,2002.0,-6.14244913982525
Brazil,BRA,2003.0,-4.75106845764603
Brazil,BRA,2004.0,-2.96232736296647
Brazil,BRA,2005.0,-2.78169311458485
Brazil,BRA,2006.0,-4.50231402468229
Brazil,BRA,2007.0,-4.66609300595095
Brazil,BRA,2008.0,-2.74030211725691
Brazil,BRA,2009.0,-4.47642485066388
Brazil,BRA,2010.0,-2.95999816770964
Brazil,BRA,2011.0,-2.53894655448268
Brazil,BRA,2012.0,-2.317914080868
Brazil,BRA,2013.0,-3.30893861695669
Brazil,BRA,2014.0,-5.87713725998464
Brazil,BRA,2015.0,-7.75095913180372
Brazil,BRA,2016.0,-7.15204245175878
Britain,GBR,2000.0,1.35275375512062
Britain,GBR,2001.0,0.216195295541333
Britain,GBR,2002.0,-1.87132036668638
Britain,GBR,2003.0,-3.10253418732192
Britain,GBR,2004.0,-3.04219474672946
Britain,GBR,2005.0,-3.11347931205953
Britain,GBR,2006.0,-2.74506643769105
Britain,GBR,2007.0,-2.63309435931129
Britain,GBR,2008.0,-5.09522427493445
Britain,GBR,2009.0,-9.98593557336621
Britain,GBR,2010.0,-9.19541370615837
Britain,GBR,2011.0,-7.43589881815552
Britain,GBR,2012.0,-8.0866526660683
Britain,GBR,2013.0,-5.46779280095697
Britain,GBR,2014.0,-5.49728648165777
Britain,GBR,2015.0,-4.50741314129925
Britain,GBR,2016.0,-3.30322050858905
Canada,CAN,2000.0,2.63970396113812
Canada,CAN,2001.0,0.529468967089921
Canada,CAN,2002.0,-0.233895789038062
Canada,CAN,2003.0,-0.126957864812588
Canada,CAN,2004.0,0.767669538252837
Canada,CAN,2005.0,1.55312009791853
Canada,CAN,2006.0,1.82760436294437
Canada,CAN,2007.0,1.81965580691923
Canada,CAN,2008.0,0.184485477426328
Canada,CAN,2009.0,-3.88135176862462
Canada,CAN,2010.0,-4.73755858174554
Canada,CAN,2011.0,-3.30873255346625
Canada,CAN,2012.0,-2.52451700716013
Canada,CAN,2013.0,-1.49475856710511
Canada,CAN,2014.0,0.174896160104426
Canada,CAN,2015.0,-0.061845591002195
Canada,CAN,2016.0,-0.453312334765877
Chile,CHL,2003.0,-0.189104524142558
Chile,CHL,2004.0,2.76924205546272
Chile,CHL,2005.0,5.02306771065965
Chile,CHL,2006.0,7.38366980592907
Chile,CHL,2007.0,7.73915779556731
Chile,CHL,2008.0,4.66751101735819
Chile,CHL,2009.0,-4.04397595174881
Chile,CHL,2010.0,-0.169286702478715
Chile,CHL,2011.0,1.28514863105417
Chile,CHL,2012.0,0.542586918313817
Chile,CHL,2013.0,-0.534483780175692
Chile,CHL,2014.0,-1.52571929497611
Chile,CHL,2015.0,-2.05906687938438
Chile,CHL,2016.0,-2.64559660277104
China,CHN,2000.0,-7.96311812612871
China,CHN,2001.0,-6.49210915083558
China,CHN,2002.0,-4.46696080428928
China,CHN,2003.0,-4.14247862787618
China,CHN,2004.0,-0.804628380340608
China,CHN,2005.0,-0.04081182945234
China,CHN,2006.0,1.24474048537517
China,CHN,2007.0,3.60895233962612
China,CHN,2008.0,1.47446608963785
China,CHN,2009.0,1.13923709470136
China,CHN,2010.0,2.2360497093924
China,CHN,2011.0,1.53128701426937
China,CHN,2012.0,1.31464630324186
China,CHN,2013.0,0.648948562069282
China,CHN,2014.0,0.603405530864029
China,CHN,2015.0,-0.609837070967581
China,CHN,2016.0,-1.07481968866087
Czech Republic,CZE,2000.0,-3.57563564178522
Czech Republic,CZE,2001.0,-5.75954800192003
Czech Republic,CZE,2002.0,-6.3513616962135
Czech Republic,CZE,2003.0,-6.85802344080934
Czech Republic,CZE,2004.0,-2.36953865069805
Czech Republic,CZE,2005.0,-3.02656956824642
Czech Republic,CZE,2006.0,-2.15014326452803
Czech Republic,CZE,2007.0,-0.644844855582269
Czech Republic,CZE,2008.0,-1.96420355886674
Czech Republic,CZE,2009.0,-5.41134758947177
Czech Republic,CZE,2010.0,-4.15200094167854
Czech Republic,CZE,2011.0,-2.70035149839144
Czech Republic,CZE,2012.0,-3.8971002555203
Czech Republic,CZE,2013.0,-1.28388671363478
Czech Republic,CZE,2014.0,-2.07549140933957
Czech Republic,CZE,2015.0,-0.64381765122764
Czech Republic,CZE,2016.0,0.711776192532093
Denmark,DNK,2000.0,1.887315011175
Denmark,DNK,2001.0,1.14055420849418
Denmark,DNK,2002.0,-0.015387113245999
Denmark,DNK,2003.0,-0.133147614335798
Denmark,DNK,2004.0,2.0731728722497
Denmark,DNK,2005.0,4.95503054106776
Denmark,DNK,2006.0,4.98710007232549
Denmark,DNK,2007.0,5.02045812820832
Denmark,DNK,2008.0,3.17390813019585
Denmark,DNK,2009.0,-2.79814242201751
Denmark,DNK,2010.0,-2.71027147514494
Denmark,DNK,2011.0,-2.05576661478475
Denmark,DNK,2012.0,-3.49044439711785
Denmark,DNK,2013.0,-1.2356471875801
Denmark,DNK,2014.0,1.14442765256798
Denmark,DNK,2015.0,-1.32962984181145
Denmark,DNK,2016.0,-0.105986872094072
Hungary,HUN,2000.0,-3.04138710956697
Hungary,HUN,2001.0,-3.99940254696825
Hungary,HUN,2002.0,-8.79771369035393
Hungary,HUN,2003.0,-7.18164823515817
Hungary,HUN,2004.0,-6.58932235946504
Hungary,HUN,2005.0,-7.77708348285355
Hungary,HUN,2006.0,-9.25691875249893
Hungary,HUN,2007.0,-5.08152462438151
Hungary,HUN,2008.0,-3.78141460097503
Hungary,HUN,2009.0,-4.74814130303511
Hungary,HUN,2010.0,-4.42504485903087
Hungary,HUN,2011.0,-5.20927605732607
Hungary,HUN,2012.0,-2.32358584062217
Hungary,HUN,2013.0,-2.59655900859683
Hungary,HUN,2014.0,-2.77395224110578
Hungary,HUN,2015.0,-2.0034189543922
Hungary,HUN,2016.0,-1.79647814194628
Indonesia,IDN,2010.0,-0.339626135746115
Indonesia,IDN,2011.0,-1.03515878875231
Indonesia,IDN,2012.0,-1.34336536263517
Indonesia,IDN,2013.0,-2.07406422327615
Indonesia,IDN,2014.0,-1.8583922108027
Indonesia,IDN,2015.0,-2.55379820370968
Indonesia,IDN,2016.0,-2.3758397871716
Japan,JPN,2005.0,-4.43846152112727
Japan,JPN,2006.0,-3.02875608544721
Japan,JPN,2007.0,-2.90102556789893
Japan,JPN,2008.0,-4.10962900877149
Japan,JPN,2009.0,-9.69302442485772
Japan,JPN,2010.0,-9.07583042450843
Japan,JPN,2011.0,-8.98552595050466
Japan,JPN,2012.0,-8.1964782635366
Japan,JPN,2013.0,-7.61141229241719
Japan,JPN,2014.0,-5.61611068385212
Japan,JPN,2015.0,-3.67784610700882
Japan,JPN,2016.0,-3.5995727863274
Mexico,MEX,2003.0,-1.32252368416166
Mexico,MEX,2004.0,-0.852532368670327
Mexico,MEX,2005.0,-0.721209221389657
Mexico,MEX,2006.0,-0.970869796770489
Mexico,MEX,2007.0,-0.710615641515271
Mexico,MEX,2008.0,-0.934756000041571
Mexico,MEX,2009.0,-3.08037947252433
Mexico,MEX,2010.0,-2.97155291159784
Mexico,MEX,2011.0,-5.29719477091961
Mexico,MEX,2012.0,-4.72690618652223
Mexico,MEX,2013.0,-4.54687794920237
Mexico,MEX,2014.0,-4.22302456040569
Mexico,MEX,2015.0,-5.16765515728037
Mexico,MEX,2016.0,-2.88241470679049
New Zealand,NZL,2000.0,1.62367843523394
New Zealand,NZL,2001.0,1.30228727702157
New Zealand,NZL,2002.0,3.25647095375829
New Zealand,NZL,2003.0,3.38437530276398
New Zealand,NZL,2004.0,3.82683635375488
New Zealand,NZL,2005.0,4.47118825067357
New Zealand,NZL,2006.0,5.02745284993372
New Zealand,NZL,2007.0,4.14270408682563
New Zealand,NZL,2008.0,0.312841198272494
New Zealand,NZL,2009.0,-2.96056220600496
New Zealand,NZL,2010.0,-7.05266988620157
New Zealand,NZL,2011.0,-4.26770097406408
New Zealand,NZL,2012.0,-2.34822910583984
New Zealand,NZL,2013.0,-0.724414928348053
New Zealand,NZL,2014.0,0.245720525816953
New Zealand,NZL,2015.0,0.036954648703689
New Zealand,NZL,2016.0,1.05486026888241
Poland,POL,2000.0,-3.9943458969676
Poland,POL,2001.0,-4.74135945584916
Poland,POL,2002.0,-4.81757270867038
Poland,POL,2003.0,-6.03610686157856
Poland,POL,2004.0,-5.00776451600112
Poland,POL,2005.0,-3.93830575550463
Poland,POL,2006.0,-3.53945228817941
Poland,POL,2007.0,-1.88251363359236
Poland,POL,2008.0,-3.60610188002063
Poland,POL,2009.0,-7.25205444507206
Poland,POL,2010.0,-7.40086699049794
Poland,POL,2011.0,-4.96725445311966
Poland,POL,2012.0,-3.79077293799224
Poland,POL,2013.0,-4.22511604859102
Poland,POL,2014.0,-3.64576705601305
Poland,POL,2015.0,-2.59622944047899
Poland,POL,2016.0,-2.38584975371441
Russia,RUS,2011.0,2.95333242900712
Russia,RUS,2012.0,1.75376671374955
Russia,RUS,2013.0,-0.567405880547197
Russia,RUS,2014.0,-2.24738838263604
Russia,RUS,2015.0,-1.39208756736032
Russia,RUS,2016.0,-2.4535277564284
South Africa,ZAF,2000.0,-3.26294165634603
South Africa,ZAF,2001.0,-2.02687201761899
South Africa,ZAF,2002.0,-2.72537204306375
South Africa,ZAF,2003.0,-3.63797231185594
South Africa,ZAF,2004.0,-3.74090069029129
South Africa,ZAF,2005.0,-2.30610997441519
South Africa,ZAF,2006.0,0.147874306839187
South Africa,ZAF,2007.0,0.833324642498561
South Africa,ZAF,2008.0,-1.73786007379289
South Africa,ZAF,2009.0,-3.85420450879439
South Africa,ZAF,2010.0,-3.27877971325556
South Africa,ZAF,2011.0,-2.47502372796199
South Africa,ZAF,2012.0,-3.59616464424154
South Africa,ZAF,2013.0,-3.5633228851816
South Africa,ZAF,2014.0,-3.83672083394527
South Africa,ZAF,2015.0,-3.68101587041306
South Africa,ZAF,2016.0,-3.36482965981968
South Korea,KOR,2000.0,4.16660016721033
South Korea,KOR,2001.0,2.90715428233916
South Korea,KOR,2002.0,3.11125462620611
South Korea,KOR,2003.0,-2.13302442781822
South Korea,KOR,2004.0,-0.077968894340975
South Korea,KOR,2005.0,1.35182304455658
South Korea,KOR,2006.0,1.9690503643839
South Korea,KOR,2007.0,3.95731623491433
South Korea,KOR,2008.0,2.13128126309059
South Korea,KOR,2009.0,-1.27621266461122
South Korea,KOR,2010.0,0.882973015803889
South Korea,KOR,2011.0,0.983334595689424
South Korea,KOR,2012.0,1.0179351402954
South Korea,KOR,2013.0,1.28341250454502
South Korea,KOR,2014.0,1.21232002300297
South Korea,KOR,2015.0,1.18041370299183
South Korea,KOR,2016.0,2.20918834297001
Sweden,SWE,2000.0,3.13638970313739
Sweden,SWE,2001.0,1.40646099760717
Sweden,SWE,2002.0,-1.40909412793419
Sweden,SWE,2003.0,-1.21632623168566
Sweden,SWE,2004.0,0.202035620173034
Sweden,SWE,2005.0,1.81096761097
Sweden,SWE,2006.0,2.13507650397159
Sweden,SWE,2007.0,3.33119696603718
Sweden,SWE,2008.0,1.9209595537025
Sweden,SWE,2009.0,-0.836294624004128
Sweden,SWE,2010.0,-0.090077711964553
Sweden,SWE,2011.0,-0.337615899546796
Sweden,SWE,2012.0,-1.11343955228386
Sweden,SWE,2013.0,-1.46261606086425
Sweden,SWE,2014.0,-1.52457090762461
Sweden,SWE,2015.0,0.012299112539227
Sweden,SWE,2016.0,1.03478322122767
Switzerland,CHE,2000.0,0.281337704716356
Switzerland,CHE,2001.0,0.207109829019697
Switzerland,CHE,2002.0,-1.74204466384583
Switzerland,CHE,2003.0,-1.35540681551433
Switzerland,CHE,2004.0,-1.38568155881088
Switzerland,CHE,2005.0,-0.642358304326107
Switzerland,CHE,2006.0,0.842378309933941
Switzerland,CHE,2007.0,1.56695943598957
Switzerland,CHE,2008.0,1.92330868877306
Switzerland,CHE,2009.0,0.494047129085824
Switzerland,CHE,2010.0,0.35122697439522
Switzerland,CHE,2011.0,0.677588573279933
Switzerland,CHE,2012.0,0.233298220141595
Switzerland,CHE,2013.0,-0.428613530822639
Switzerland,CHE,2014.0,-0.244464252811588
Switzerland,CHE,2015.0,0.539275975996689
Switzerland,CHE,2016.0,0.235573891427647
United States,USA,2000.0,0.335568442813897
United States,USA,2001.0,-1.84742375421343
United States,USA,2002.0,-5.3031923556799
United States,USA,2003.0,-6.41433585447499
United States,USA,2004.0,-5.77504257114317
United States,USA,2005.0,-4.44771982507819
United States,USA,2006.0,-3.33341900953438
United States,USA,2007.0,-3.97930342122564
United States,USA,2008.0,-7.34253610494126
United States,USA,2009.0,-13.0999306744471
United States,USA,2010.0,-12.3800089972935
United States,USA,2011.0,-10.9559947540121
United States,USA,2012.0,-9.18706771330327
United States,USA,2013.0,-5.80240715598156
United States,USA,2014.0,-5.18710224847609
United States,USA,2015.0,-4.5985107785484
United States,USA,2016.0,-5.40322841710552
